procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 6  0  54528 1333596   2896 2416012    1    2   972    47   42   24  5  1 91  2  0 2026-08-13 11:37:24
 1  0  54528 180664   2048 2351504    0    0 13744    33 2720 1584 18 14 47 21  0 2026-08-13 11:37:34
 1  0  54528 171640   1756 2336992    0    0 18805    14 3072 1968 20  7 47 25  0 2026-08-13 11:37:44
 0  0  54528 178604   1764 2257536    0    0 22474    43 2931 1814 18  7 47 27  0 2026-08-13 11:37:54
 1  0  54528 111656   1812 2281708    0    0 22691    47 2947 1856 19  6 47 27  0 2026-08-13 11:38:04
 0  1  54528 119072   1820 2281844    0    0 20289    17 2823 1718 20  6 47 26  0 2026-08-13 11:38:14
 1  0  54528 189092   1828 2178180    0    0 20046    10 3195 2266 19  9 46 26  0 2026-08-13 11:38:24
 1  0  54528 141284   1808 2237812    0    0 19798    44 3120 1886 20  7 47 26  0 2026-08-13 11:38:34
 0  1  54528 112796   1804 2256136    0    0 22110    12 3131 1944 18  6 48 28  0 2026-08-13 11:38:44
 2  0  54528 181628   1264 2173144    0    8 22801    52 3070 1934 19  6 47 27  0 2026-08-13 11:38:54
 2  0  54528 162008   1048 2199720    0    6 19075    54 2964 1756 20  7 47 26  0 2026-08-13 11:39:04
 0  1  54528 136624    632 2217256    0    0 27483     5 3046 1949 14  7 47 31  0 2026-08-13 11:39:14
 0  1  54528 163896    776 2200616    0    0 20585    16 2954 1807 20  6 47 26  0 2026-08-13 11:39:24
 1  0  54528 108892    784 2250088    0    0 21581    11 2697 1752 20  6 48 26  0 2026-08-13 11:39:34
 1  0  54528 137972    680 2230324    0    0 25400    31 3154 2113 17  7 47 29  0 2026-08-13 11:39:44
 1  0  54528 110860    688 2247820    0    0 17959    10 2624 1579 20  6 48 25  0 2026-08-13 11:39:54
 1  0  54528 146204    728 2213440    0    0 18437    38 2774 1687 15  6 47 30  1 2026-08-13 11:40:04
