procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0 420608 2141872  35976 1444032    1    2   208   249   33   19  2  1 97  0  0 2026-08-16 14:09:35
 1  0 420608 1925668  36412 1672876   36    0 22956    53 1728  587 43  8 48  2  0 2026-08-16 14:09:45
 1  0 420608 1534952  36420 1870848    0    0 19796     3 1762  548 44  9 46  2  0 2026-08-16 14:09:55
 1  0 420608 107164  33304 1348332    0    3  8282   129 2384  819 46 31 22  1  0 2026-08-16 14:10:05
 1  0 420608 2088736  32280 1551396    0    0 23289     3 2002  966 43  8 48  2  0 2026-08-16 14:10:15
 1  0 420608 1872016  32288 1771788    0    0 22036     2 1726  531 43  6 49  2  0 2026-08-16 14:10:25
 1  0 420608 1658068  32296 1982408    0    0 21062    48 1682  493 43  6 49  2  0 2026-08-16 14:10:35
 1  0 420608 1432496  32300 2203524    0    0 22118     2 1751  580 43  6 49  2  0 2026-08-16 14:10:45
 1  0 420608 1205224  32304 2432208   20    0 22890     2 1728  598 43  6 49  2  0 2026-08-16 14:10:55
 1  0 420608 986888  32320 2659088    1    0 22682    46 1769  646 44  6 49  2  0 2026-08-16 14:11:05
 2  0 420608 763640  32320 2879220    0    0 22015     7 1718  519 44  5 49  1  0 2026-08-16 14:11:15
 2  0 420608 547424  32320 3096632    0    0 21749     2 1704  507 44  5 49  1  0 2026-08-16 14:11:25
 1  0 420608 316088  32324 3323344    0    0 22672     2 1731  559 44  6 49  1  0 2026-08-16 14:11:35
 1  0 420608 137924  32328 3506580    0    0 18321     2 1331  430 39  4 56  1  0 2026-08-16 14:11:45
 2  0 439808 148184  31336 3529248    0 2750 11974  2752 1655  437 30  5 61  5  0 2026-08-16 14:11:55
 1  0 474112 127064  30424 3584152    4 4004 11470  4006 1939  341 30  4 61  4  0 2026-08-16 14:12:05
 1  0 474112 120032  30032 3588560   18    0 11350     4  888  311 30  4 65  1  0 2026-08-16 14:12:15
 1  0 473856 116612  29012 3592292   12    0 11206     2  879  326 29  5 65  1  0 2026-08-16 14:12:25
 1  0 473856 163740  27464 3556728   38    3 12084    17  873  314 30  3 65  1  0 2026-08-16 14:12:35
 1  0 473600 138824  26456 3573220   33    0 12455     4  898  312 32  2 65  1  0 2026-08-16 14:12:45
 1  0 473600 121904  25436 3593884   24    0 12870     2  922  357 31  2 65  2  0 2026-08-16 14:12:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 473600 152168  23904 3565140   27    0 13270     2  896  333 32  2 64  1  0 2026-08-16 14:13:05
 1  0 473344 126192  22892 3594792   29    0 13780     2  893  348 31  2 65  1  0 2026-08-16 14:13:15
 1  0 473344 140748  21360 3576684   26    0 14340     2  945  397 32  2 65  1  0 2026-08-16 14:13:25
 1  0 473344 104460  20352 3610140   23    0 14165    24  904  363 32  2 65  1  0 2026-08-16 14:13:35
 1  1 473344 133076  19584 3589052   22    0 14032     2  897  330 31  2 65  1  0 2026-08-16 14:13:45
 1  0 473088 104680  19076 3617460   37    0 13678     2  928  344 32  2 65  1  0 2026-08-16 14:13:55
